#Name of Area,Total Population,Population Density (per sq. mile),Total Population:,Total Population: Male,Total Population: Female,Median Age:,Total Population,Total Population: Not Hispanic or Latino: White Alone,Total Population: Not Hispanic or Latino: Black or African American Alone,Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Not Hispanic or Latino: Asian Alone,Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Not Hispanic or Latino: Some Other Race Alone,Total Population: Not Hispanic or Latino: Two or More races,Total Population: Hispanic or Latino,Population 25 Years and over:,Population 25 Years and over: Less Than High School,Population 25 Years and over: High School Graduate (includes equivalency),Population 25 Years and over: Some college,Population 25 Years and over: Bachelor's degree,Population 25 Years and over: Master's degree,Population 25 Years and over: Professional school degree,Population 25 Years and over: Doctorate degree,Civilian Population In Labor Force 16 Years And Over:,Civilian Population In Labor Force 16 Years And Over: Employed,Civilian Population In Labor Force 16 Years And Over: Unemployed,Civilian Male In Labor Force 16 Years And Over:,Civilian Male In Labor Force 16 Years And Over: Employed,Civilian Male In Labor Force 16 Years And Over: Unemployed,Civilian Female In Labor Force 16 Years And Over:,Civilian Female In Labor Force 16 Years And Over: Employed,Civilian Female In Labor Force 16 Years And Over: Unemployed,Median household income (In 2012 Inflation Adjusted Dollars),Gini Index,Population Under 18 Years of Age for whom poverty status is determined:,Population Under 18 Years of Age for whom poverty status is determined: Living in Poverty,Population Under 18 Years of Age for whom poverty status is determined: At or Above Poverty Level,Population Age 18 to 64 for whom poverty status  is determined:,Population Age 18 to 64 for whom poverty status  is determined: Living in Poverty,Population Age 18 to 64 for whom poverty status  is determined: At or Above Poverty Level,Population Age 65 and Over for whom poverty  status is determined:,Population Age 65 and Over for whom poverty  status is determined: Living In Poverty,Population Age 65 and Over for whom poverty  status is determined: At or Above Poverty Level
State,TotalPop,PopDensity,SE_T004_001,SE_T004_002,SE_T004_003,MedianAge,SE_T014_001,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,SE_T014_008,SE_T014_009,SE_T014_010,SE_T025_001,SE_T025_002,SE_T025_003,SE_T025_004,SE_T025_005,SE_T025_006,SE_T025_007,SE_T025_008,SE_T037_001,SE_T037_002,SE_T037_003,SE_T038_001,SE_T038_002,SE_T038_003,SE_T039_001,SE_T039_002,SE_T039_003,MedianIncomeHH,Gini,SE_T114_001,SE_T114_002,SE_T114_003,SE_T115_001,SE_T115_002,SE_T115_003,SE_T116_001,SE_T116_002,SE_T116_003
Michigan,9897264,175.0523,9897264,4855361,5041903,38.8,9897264,7573403,1377045,49894,244338,2413,10939,200834,438398,6578519,744419,2021310,2133610,1033830,473285,108256,63809,4884714,4269865,614849,2531726,2180839,350887,2352988,2089026,263962,48471,0.4554,2300573,524943,1775630,6042805,947665,5095140,1333325,109414,1223911
Minnesota,5313081,66.72483,5313081,2638499,2674582,37.4,5313081,4410412,267757,52569,214886,1946,5816,109670,250025,3525850,285839,955846,1147626,768061,254134,73383,40961,2952483,2745021,207462,1538230,1415612,122618,1414253,1329409,84844,59126,0.442,1263116,180377,1082739,3269191,347303,2921888,658790,54655,604135
Mississippi,2967620,63.2441,2967620,1439787,1527833,36,2967620,1721075,1098146,12135,26301,344,1726,29259,78634,1904849,361500,579270,583598,243099,96606,24767,16009,1347995,1204869,143126,692529,619777,72752,655466,585092,70374,38882,0.4765,741450,236967,504483,1760593,349146,1411447,370063,54019,316044
Missouri,5982413,87.02765,5982413,2929988,3052425,37.9,5982413,4840138,684756,20562,95119,5737,6529,117420,212152,3973614,508960,1260509,1180069,642058,274737,66671,40610,3041365,2781791,259574,1568994,1423917,145077,1472371,1357874,114497,47333,0.4551,1389586,290184,1099402,3607689,507094,3100595,805451,71758,733693
Montana,990785,6.807376,990785,497141,493644,39.9,990785,868906,3936,60410,5872,645,583,21449,28984,671337,54629,202958,222534,132234,39215,12095,7672,513795,478254,35541,272064,250530,21534,241731,227724,14007,45456,0.4398,218617,43459,175158,604728,87634,517094,143141,12026,131115
Nebraska,1827306,23.78556,1827306,906143,921163,36.3,1827306,1500944,80644,13408,32041,978,1336,30800,167155,1184668,113355,339607,398679,225471,74332,20206,13018,1002898,946986,55912,525674,494868,30806,477224,452118,25106,51381,0.4357,447968,74993,372975,1089690,126771,962919,235235,18480,216755
Nevada,2704204,24.63268,2704204,1365496,1338708,36.3,2704204,1462400,210782,24967,193479,15876,4534,74331,717835,1791029,279754,514459,598907,264760,91395,28049,13705,1404075,1237659,166416,758968,664847,94121,645107,572812,72295,54083,0.4434,653506,132536,520970,1686300,219918,1466382,325288,26743,298545
New Hampshire,1317474,147.1602,1317474,650048,667426,41.1,1317474,1214875,14289,2039,28594,203,1703,18416,37355,907338,77643,265671,260654,191995,83170,16021,12184,743662,694736,48926,387884,360606,27278,355778,334130,21648,64925,0.428,281488,30757,250731,823087,65484,757603,173092,11559,161533
New Jersey,8793888,1195.761,8793888,4283189,4510699,38.9,8793888,5208824,1125265,10957,731445,2001,34637,123079,1557680,5969516,723029,1741272,1393117,1314380,570273,143891,83554,4663005,4219677,443328,2447622,2211562,236060,2215383,2008115,207268,71637,0.4669,2034640,284001,1750639,5427997,476819,4951178,1157126,89739,1067387
New Mexico,2055287,16.94409,2055287,1015710,1039577,36.6,2055287,831543,35586,176766,25411,989,3623,28800,952569,1333926,221143,351718,419187,195148,101223,22052,23455,970728,882461,88267,510893,461057,49836,459835,421404,38431,44886,0.4663,508166,140823,367343,1235440,219225,1016215,270171,33091,237080
