Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A02002_001,SE_A02002_002,SE_A02002_003,SE_A02002_004,SE_A02002_005,SE_A02002_006,SE_A02002_007,SE_A02002_008,SE_A02002_009,SE_A02002_010,SE_A02002_011,SE_A02002_012,SE_A02002_013,SE_A02002_014,SE_A02002_015,SE_A02002_016,SE_A02002_017,SE_A02002_018,SE_A02002_019,SE_A02002_020,SE_A02002_021,SE_A02002_022,SE_A02002_023,SE_A02002_024,SE_A02002_025,SE_A02002_026,SE_A02002_027
"0137120","32000US0137120","Ozark","Ozark, AL Micro Area; Alabama","al","320","00","ACSSF","0007827",,,,,"01",,,,,,,,,,,,,,"37120",,,,,,,,,,,,,,,,,,,,,,,,,,,,49277,24301,1620,1827,1399,988,2344,3654,2874,2895,3110,2213,1134,243,24976,1611,1486,1545,909,2039,3492,2958,3108,3337,2495,1444,552
"0142460","32000US0142460","Scottsboro","Scottsboro, AL Micro Area; Alabama","al","320","00","ACSSF","0007828",,,,,"01",,,,,,,,,,,,,,"42460",,,,,,,,,,,,,,,,,,,,,,,,,,,,51852,25381,1529,1673,1521,1000,1916,3042,3007,3508,3733,2763,1361,328,26471,1227,1480,1525,1027,1955,2882,3255,3551,3908,3256,1804,601
"0142820","32000US0142820","Selma","Selma, AL Micro Area; Alabama","al","320","00","ACSSF","0007829",,,,,"01",,,,,,,,,,,,,,"42820",,,,,,,,,,,,,,,,,,,,,,,,,,,,39149,18039,1202,1477,1201,869,1657,2082,1917,2129,2640,1848,861,156,21110,1191,1421,1221,847,1863,2489,2466,2583,3085,2230,1252,462
"0145180","32000US0145180","Talladega-Sylacauga","Talladega-Sylacauga, AL Micro Area; Alabama","al","320","00","ACSSF","0007830",,,,,"01",,,,,,,,,,,,,,"45180",,,,,,,,,,,,,,,,,,,,,,,,,,,,80387,38826,2233,2388,2423,1645,3455,4819,4800,5355,5424,3958,1778,548,41561,2033,2555,2406,1574,3682,5045,5068,5518,5912,4508,2507,753
"0145980","32000US0145980","Troy","Troy, AL Micro Area; Alabama","al","320","00","ACSSF","0007831",,,,,"01",,,,,,,,,,,,,,"45980",,,,,,,,,,,,,,,,,,,,,,,,,,,,33333,15980,956,1056,834,506,3515,2078,1517,1577,1728,1340,715,158,17353,870,930,803,515,4050,1855,1749,1889,1959,1506,886,341
"0146220","32000US0146220","Tuscaloosa","Tuscaloosa, AL Metro Area; Alabama","al","320","00","ACSSF","0007832",,,,,"01",,,,,,,,,,,,,,"46220",,,,,,,,,,,,,,,,,,,,,,,,,,,,250681,120524,7830,7435,7370,4439,18733,17649,14021,13653,14242,9732,4183,1237,130157,7191,7366,6859,4497,19696,18076,15521,15230,15911,11200,6108,2502
"0211260","32000US0211260","Anchorage","Anchorage, AK Metro Area; Alaska","ak","320","00","ACSSF","0003109",,,,,"02",,,,,,,,,,,,,,"11260",,,,,,,,,,,,,,,,,,,,,,,,,,,,398900,204508,14608,14551,14002,8467,21465,34528,26342,25133,24893,14356,4892,1271,194392,14106,14113,12724,7701,17107,31811,25637,24325,24575,14425,5531,2337
"0221820","32000US0221820","Fairbanks","Fairbanks, AK Metro Area; Alaska","ak","320","00","ACSSF","0003110",,,,,"02",,,,,,,,,,,,,,"21820",,,,,,,,,,,,,,,,,,,,,,,,,,,,99072,53417,4056,3212,3354,1594,8400,10192,6524,5553,5589,3637,1030,276,45655,3752,3676,2600,1699,4883,8204,5659,5087,5339,3174,1307,275
"0227940","32000US0227940","Juneau","Juneau, AK Micro Area; Alaska","ak","320","00","ACSSF","0003111",,,,,"02",,,,,,,,,,,,,,"27940",,,,,,,,,,,,,,,,,,,,,,,,,,,,32227,16504,970,1055,946,644,1435,2621,2094,2329,2465,1432,330,183,15723,905,963,896,565,1287,2296,2281,2109,2327,1414,444,236
"0228540","32000US0228540","Ketchikan","Ketchikan, AK Micro Area; Alaska","ak","320","00","ACSSF","0003112",,,,,"02",,,,,,,,,,,,,,"28540",,,,,,,,,,,,,,,,,,,,,,,,,,,,13800,7083,411,396,438,296,612,986,889,926,1118,687,234,90,6717,386,467,393,246,513,888,846,900,1039,676,264,99
