                2016                   2                   1                   2                   1                   2                  47                   1                   4                   2
                2016                   1                   1                   1                   1                   1                  62                   0                   1                  20
                2016                   0                   9                   2                   1                   2                  51                   2                   1                  26
                2016                   2                   9                   4                   1                   2                  43                   2                   2                  26
                2016                   1                   9                   4                   3                   1                  47                   2                   1                  26
                2016                   8                   9                   1                   1                   2                  57                   1                   1                  20
                2016                   1                   9                   2                   1                   1                  30                   0                   1                  17
                2016                   5                   9                   2                   1                   1                  39                   0                   1                  26
                2016                   0                   9                   1                   1                   2                  37                   0                   1                  18
                2016                   7                   9                   2                   3                   2                  52                   0                   2                  27
                2016                   5                   9                   1                   3                   2                  61                   0                   2                  12
                2016                   0                   9                   3                   1                   1                  58                   1                   1                  21
                2016                   3                   9                   2                   1                   1                  31                   0                   2                   5
                2016                   2                   9                   3                   3                   2                  52                   2                   2                  18
                2016                   3                   9                   4                   1                   2                  46                   2                   7                  18
                2016                   8                   9                   5                   1                   2                  25                   1                   1                  23
                2016                   0                   9                   5                   3                   1                  54                   4                   1                  22
                2016                   7                   9                   3                   3                   2                  33                   1                   1                  19
                2016                   5                   9                   2                   3                   1                  33                   1                   1                  21
                2016                   0                   9                   1                   1                   2                  61                   2                   2                  10
                2016                   8                   9                   5                   1                   2                  65                   4                   5                  27
                2016                   1                   9                   3                   1                   2                  53                   0                   1                  98
                2016                   5                   9                   6                   3                   2                  66                   8                   7                  98
                2016                   2                   9                   3                   1                   2                  41                   2                   3                   7
                2016                   1                   9                   2                   1                   2                  57                   2                   7                  21
                2016                   0                   9                   1                   2                   1                  50                   0                   1                  21
                2016                   8                   9                   2                   2                   1                  75                   4                   5                  98
                2016                   0                   9                   2                   2                   2                  22                   3                   2                  14
                2016                   0                   9                   2                   1                   1                  27                   0                   1                  12
                2016                   0                   9                   1                   1                   2                  20                   1                   2                   1
                2016                   0                   9                   1                   1                   1                  55                   0                   1                  22
                2016                   1                   9                   2                   1                   2                  49                   1                   3                  16
                2016                   5                   9                   1                   3                   2                  51                   1                   1                  20
                2016                   7                   9                   3                   1                   1                  56                   5                   2                  24
