"PUBID","YSAQ-007","YSAQ-009","KEY!SEX","KEY!BDATE_M","KEY!BDATE_Y","KEY!ETHNICITY","KEY!RACE","CV_INCOME_GROSS_YR","CV_HH_NET_WORTH_P","CV_YTH_REL_HH_CURRENT","CV_URBAN-RURAL","CV_HGC_BIO_DAD","CV_HGC_BIO_MOM","CV_HGC_RES_DAD","CV_HGC_RES_MOM","FP_YHROUTIN","YPOL-105","YPOL-110","CVC_HIGHEST_DEGREE_EVER"
95,7,5,1,7,1982,1,5,34738,1750,1,1,8,8,8,8,21,1,3,0
96,7,1,1,7,1982,0,4,75500,17500,1,1,14,12,14,12,16,-5,-5,4
97,-4,-4,1,6,1980,1,1,41100,12000,1,1,12,12,12,12,-4,2,4,4
98,-4,-4,1,1,1980,0,4,-4,-4,1,1,-3,-3,-3,-3,-4,-5,-5,4
99,7,3,1,6,1982,1,5,-3,3750,2,1,-4,8,10,8,18,-2,1,1
100,-4,-4,2,1,1981,0,2,26000,-8500,4,1,-3,10,-4,10,-4,3,1,1
101,-4,-4,2,7,1981,0,2,-3,-3,4,1,-4,6,-4,6,-4,2,4,-3
102,0,0,2,4,1982,1,1,80000,190001,1,1,12,12,12,12,6,-5,-5,4
103,0,0,2,11,1983,1,1,80000,190001,1,1,12,12,12,12,1,-5,-5,2
104,-4,-4,2,11,1980,0,1,75673,258500,1,1,16,13,16,13,-4,1,1,4
105,4,1,1,8,1983,0,1,75673,258500,1,1,16,13,16,13,9,1,4,2
106,-4,-4,1,11,1981,0,1,92300,382500,1,1,12,16,12,16,-4,-5,-5,3
107,6,6,2,8,1982,0,1,135000,559500,1,1,19,16,19,16,20,2,4,5
108,6,4,1,9,1984,0,1,135000,559500,1,1,19,16,19,16,18,1,4,4
109,7,1,2,3,1982,0,1,76500,453750,1,1,12,12,12,12,16,2,2,4
110,7,1,2,2,1984,0,1,76500,453750,1,1,12,12,12,12,16,4,1,5
111,-4,-4,2,1,1981,0,1,63850,105500,6,1,-4,-4,13,12,-4,2,4,4
112,7,3,2,4,1984,0,1,-4,-4,1,1,12,12,12,12,18,4,1,4
113,6,7,1,4,1984,0,1,66600,2750,4,1,12,15,-4,15,19,1,4,2
114,5,2,2,7,1982,0,1,76716,102200,1,1,13,12,13,12,12,3,4,4
115,3,0,2,10,1984,1,1,-3,-3,1,1,12,12,12,12,10,-5,-5,1
116,7,6,1,10,1984,0,2,31750,26250,4,2,12,12,-4,12,18,4,5,2
117,7,4,1,10,1984,0,2,31750,26250,4,2,12,12,-4,12,17,4,5,2
118,-4,-4,1,6,1980,0,1,98500,-3,1,1,16,12,16,12,-4,2,4,4
119,7,4,1,9,1982,0,1,246474,-3,1,1,12,15,12,15,17,-5,-5,4
120,5,1,1,6,1982,0,1,-4,-4,5,1,17,16,17,-4,9,-5,-5,5
121,-4,-4,1,12,1981,0,1,77900,155450,1,1,14,14,14,14,-4,2,1,2
122,0,0,1,6,1984,0,1,77900,155450,1,1,14,14,14,14,0,2,1,2
123,-4,-4,1,2,1980,0,1,-4,-4,1,1,12,15,12,15,-4,-5,-5,0
124,3,1,1,2,1982,0,1,-4,-4,1,1,12,15,12,15,10,-5,-5,0
125,7,7,2,5,1984,0,1,-3,-3,1,1,18,16,18,16,24,2,3,4
126,-4,-4,1,5,1981,0,1,-4,-4,4,1,-4,12,-4,12,-4,4,1,2
127,4,1,2,3,1982,0,1,-4,-4,1,1,16,16,16,16,10,3,3,4
128,7,2,2,8,1982,0,1,93000,175500,4,1,18,16,-4,16,16,3,1,4
129,-4,-4,2,8,1980,0,4,-4,-4,3,1,17,-4,17,16,-4,3,1,4
130,-4,-4,2,7,1981,0,4,-4,-4,3,1,17,-4,17,16,-4,-5,-5,4
131,-4,-4,1,10,1980,0,1,40200,470750,1,1,16,16,16,16,-4,-5,-5,2
132,6,3,1,2,1983,0,1,42047,-3,1,1,16,16,16,16,17,-5,-5,4
133,5,1,1,7,1982,0,1,51160,68500,1,1,16,16,16,16,8,-5,-5,4
134,7,5,1,4,1984,0,1,-4,-4,1,1,16,14,16,14,25,3,1,2
135,-4,-4,1,4,1981,0,1,72000,87500,4,1,15,18,-4,18,-4,1,4,5
136,7,1,2,9,1983,0,1,-3,-3,1,1,14,18,14,18,11,2,4,4
137,-4,-4,2,5,1980,0,1,3400,500,4,1,-4,12,-4,12,-4,2,4,1
138,4,3,1,4,1984,0,1,-3,600000,1,1,18,16,18,16,12,2,1,3
139,7,2,2,7,1984,0,1,246474,600000,1,1,16,18,16,18,16,-5,-5,2
140,6,5,1,12,1983,1,1,48750,35500,2,1,14,12,16,12,19,-5,-5,2
141,-4,-4,2,1,1980,0,1,-3,4050,1,1,9,12,9,12,-4,-5,-5,2
142,-4,-4,2,1,1981,0,1,38700,8000,4,1,14,10,-4,10,-4,-5,-5,2
143,-4,-4,1,8,1981,0,2,123000,84299,1,1,14,12,14,12,-4,-5,-5,2
144,5,2,1,8,1982,0,2,69500,131750,2,1,12,16,12,16,10,3,2,2
145,5,2,1,4,1984,0,2,69500,131750,2,1,12,16,12,16,20,3,4,4
146,7,5,1,7,1984,0,2,47000,150,1,1,12,12,12,12,20,2,1,2
147,7,0,2,2,1984,0,1,35000,-3,1,1,13,12,13,12,13,4,1,2
148,0,0,2,10,1982,0,2,-3,-15750,4,1,12,6,-4,6,5,3,1,1
149,0,2,2,4,1983,0,2,-3,3750,4,1,11,11,-4,11,6,3,4,2
150,7,3,1,2,1984,0,2,-3,3750,4,1,-3,11,-4,11,16,2,4,2
151,7,7,2,1,1982,0,2,-3,-3,9,1,11,11,-4,-4,24,3,4,2
152,7,3,1,5,1982,0,2,-4,-4,1,1,14,12,14,12,16,-5,-5,2
153,-4,-4,2,2,1980,0,2,-3,1750,2,1,13,10,12,10,-4,4,4,2
154,-4,-4,1,6,1980,0,1,142700,125500,1,1,20,19,20,19,-4,-5,-5,2
