"SCH_YEAR_TO_GRADE_1997","PUBID","YSCH-5000","KEY!SEX","KEY!BDATE_M","KEY!BDATE_Y","KEY!RACE","CV_AGE(MONTHS)_INT_DATE","CV_AGE_INT_DATE","CV_INCOME_GROSS_YR","CV_YTH_REL_HH_CURRENT","CV_INTERVIEW_CMONTH","CV_SAMPLE_TYPE","KEY!RACE_ETHNICITY","CV_AGE(MONTHS)_INT_DATE","CV_AGE_INT_DATE","CV_INCOME_GROSS_YR","CV_YTH_REL_HH_CURRENT","CV_INTERVIEW_CMONTH","CV_AGE(MONTHS)_INT_DATE","CV_AGE_INT_DATE","CV_INCOME_GROSS_YR","CV_YTH_REL_HH_CURRENT","CV_INTERVIEW_CMONTH","CV_INCOME_GROSS_YR","CV_YTH_REL_HH_CURRENT","CV_INTERVIEW_CMONTH","CV_INCOME_GROSS_YR","CV_YTH_REL_HH_CURRENT","CV_INTERVIEW_CMONTH","CV_INCOME_GROSS_YR","CV_YTH_REL_HH_CURRENT","CV_INTERVIEW_CMONTH","VERSION_R16","CVC_HGC_EVER","CVC_HIGHEST_DEGREE_EVER","CVC_HS_LEFT_DATE","CVC_HS_LEFT_HGC","CVC_HS_LEFT_HGA"
7,50,6,2,2,1983,2,175,14,-3,4,213,1,1,190,15,-4,4,228,203,16,-4,4,241,-4,4,253,-4,4,264,2500,10,275,429,13,1,266,10,11
12,51,10,1,6,1980,2,204,16,3750,4,210,1,1,220,18,-4,4,226,234,19,5500,4,240,17500,4,255,17500,4,264,10000,4,275,429,14,2,222,12,12
7,52,7,1,12,1983,2,162,13,3750,4,210,1,1,178,14,-4,4,226,192,16,-4,4,240,-4,4,255,-3,4,264,-3,4,275,429,14,2,285,12,12
9,53,7,2,4,1984,2,160,13,-3,1,212,1,1,175,14,17000,1,227,188,15,-4,1,240,-4,1,253,5000,1,263,77500,1,276,429,12,2,258,12,12
8,54,6,2,12,1984,2,149,12,-3,8,209,1,1,166,13,-2,8,226,180,15,-4,9,240,-4,9,253,-3,9,266,-3,10,277,429,14,3,288,-3,12
11,55,9,2,2,1981,1,195,16,-3,1,209,1,2,217,18,-4,1,231,226,18,65235,1,240,43000,1,253,-3,1,266,43800,1,277,429,16,4,234,12,12
10,56,8,2,2,1982,1,182,15,110700,1,208,1,4,201,16,-4,1,227,215,17,-4,1,241,110305,1,255,135500,1,267,4140,1,276,429,18,5,246,12,12
9,57,8,1,12,1982,2,183,15,0,1,219,1,1,191,15,-4,1,227,204,17,-4,1,240,-4,1,254,-3,1,263,-3,1,275,429,12,2,270,12,12
9,58,7,1,11,1983,2,160,13,25500,1,207,1,1,184,15,-4,1,231,192,16,-4,1,239,-4,1,253,-4,1,265,11000,1,276,429,14,2,258,12,12
11,59,9,2,4,1981,2,191,15,22800,9,207,1,1,211,17,-2,9,227,224,18,17451,9,240,31109,9,253,52000,9,263,-3,9,275,429,15,2,234,12,12
6,60,4,1,1,1984,5,157,13,56600,2,206,1,4,182,15,-4,2,231,190,15,-4,2,239,-4,2,251,-4,2,263,-4,2,276,-5,18,5,294,12,12
9,61,7,2,5,1983,2,165,13,-3,4,206,1,1,186,15,-4,4,227,199,16,-4,4,240,-4,4,254,-4,4,264,43500,4,277,429,14,3,258,12,12
12,62,10,1,3,1980,2,204,17,150000,1,207,1,1,225,18,-2,1,228,237,19,-2,1,240,75000,1,253,75000,1,264,80700,1,276,429,17,4,222,12,12
8,63,6,2,10,1984,2,149,12,150000,1,207,1,1,170,14,-4,1,228,182,15,-4,1,240,-4,1,253,-4,1,264,-3,10,276,429,16,4,269,12,12
11,64,12,1,3,1980,2,207,17,40000,1,210,1,1,224,18,-4,1,227,237,19,-2,1,240,112500,1,253,7500,10,264,135000,1,278,-5,14,2,234,12,12
8,65,6,1,4,1984,2,156,13,-3,1,208,1,1,175,14,-4,1,227,189,15,-4,1,241,-4,1,253,-4,1,267,-4,1,275,-5,14,3,281,-3,12
11,66,9,1,10,1980,2,199,16,-3,10,209,1,1,217,18,-2,3,227,231,19,-2,3,241,-3,3,254,-3,3,265,146000,3,277,-5,20,7,234,12,12
12,67,10,1,11,1980,2,199,16,-3,4,210,1,1,216,17,120000,1,227,230,19,-2,1,241,-3,1,254,-3,1,263,-3,4,276,429,19,6,222,12,12
11,68,9,1,1,1981,2,196,16,-3,10,209,1,1,214,17,-2,3,227,228,18,-4,3,241,-3,3,254,-3,1,263,-3,1,277,429,15,2,246,12,12
11,69,9,2,7,1981,2,189,15,-3,1,208,1,1,208,17,-4,1,227,221,18,95000,1,240,84000,1,254,-3,1,264,-3,1,277,-5,18,4,234,12,12
10,70,8,1,8,1982,2,178,14,-3,1,210,1,1,195,16,-4,1,227,208,17,-4,1,240,-3,1,254,77500,1,265,85000,1,275,429,16,4,246,12,12
11,71,10,1,1,1980,2,205,17,26015,8,206,1,1,232,19,-1,8,233,243,20,-1,5,244,-3,5,253,-3,5,265,-3,5,277,-5,13,2,234,12,12
10,72,8,2,4,1982,2,180,14,-4,1,208,1,1,199,16,-4,1,227,212,17,-4,4,240,-4,4,253,-3,4,263,22500,4,275,-5,14,2,258,-3,12
8,73,6,1,10,1984,2,150,12,-4,1,208,1,1,169,14,-4,1,227,182,15,-4,4,240,-4,4,254,-4,4,263,-4,4,275,-5,14,2,270,12,12
8,74,7,1,7,1983,1,170,14,-3,1,213,1,4,189,15,-4,1,232,201,16,-4,1,244,-4,1,257,-4,1,265,-3,1,281,429,20,7,265,12,12
10,75,8,1,1,1982,4,185,15,-4,5,210,1,4,204,17,-4,3,229,214,17,-4,3,239,15000,3,253,0,3,264,7500,3,275,429,15,2,246,12,12
9,76,8,1,1,1982,4,185,15,-4,5,210,1,4,204,17,-4,3,229,214,17,-4,3,239,-4,3,253,19000,3,264,0,10,276,-5,14,2,260,12,12
8,77,6,2,11,1984,2,150,12,35500,1,209,1,2,169,14,-4,1,228,180,14,62120,1,239,-4,1,252,-4,1,266,60100,1,278,-5,15,2,270,12,12
10,78,9,2,7,1981,1,194,16,-3,4,213,1,4,209,17,-4,4,228,220,18,-4,4,239,5040,4,252,-3,4,265,6300,4,276,429,14,3,246,12,12
8,79,6,1,12,1983,1,161,13,-3,5,209,1,2,180,14,-4,5,228,191,15,-4,4,239,0,4,252,0,4,265,800,4,277,429,13,1,241,9,10
-4,80,8,1,6,1981,2,191,15,30000,4,209,1,1,213,17,-4,4,231,223,18,-4,4,241,0,4,256,6000,4,266,-3,4,275,429,11,1,246,11,11
7,81,6,2,1,1984,2,160,13,4810,4,209,1,1,180,15,-4,2,229,192,15,-4,4,241,-4,4,254,-3,4,266,-4,4,275,429,11,0,275,11,12
8,82,7,1,7,1984,5,156,13,-3,4,211,1,2,173,14,-4,4,228,184,15,-4,4,239,-4,4,252,-4,4,265,-4,4,277,429,16,4,270,12,12
10,83,8,1,9,1981,5,191,15,-3,4,212,1,2,208,17,-4,4,229,220,18,-4,4,241,18200,4,252,36000,4,265,9000,4,275,429,12,1,241,12,12
8,84,7,2,2,1984,5,162,13,-3,4,212,1,2,179,14,-4,4,229,191,15,-4,4,241,-4,4,252,-4,4,265,-4,4,275,429,13,2,270,12,12
8,85,6,1,2,1984,1,159,13,12000,4,209,1,4,180,15,-4,4,230,190,15,-4,4,240,-4,4,253,-4,4,265,-3,4,276,429,12,2,270,12,12
11,86,10,2,10,1980,1,198,16,-3,1,208,1,4,222,18,-4,1,232,229,19,-2,1,239,0,1,253,44250,10,264,50000,10,275,429,18,5,234,12,12
8,87,6,1,5,1984,1,156,13,42500,1,209,1,2,177,14,-4,1,230,190,15,-4,1,243,-4,1,254,-4,1,266,-3,4,277,-5,15,2,273,12,12
9,88,8,1,1,1981,1,197,16,-4,1,210,1,4,218,18,-4,1,231,228,18,-4,1,241,-3,1,256,-3,1,264,-3,1,277,429,12,2,258,12,12
11,89,9,1,11,1981,1,185,15,-4,1,208,1,4,204,16,-4,1,227,216,17,80300,1,239,37500,1,251,26000,1,267,23900,1,275,429,20,5,234,12,12
11,90,10,1,11,1981,2,188,15,-3,1,211,1,2,209,17,-4,1,232,216,18,-4,1,239,37000,1,251,51000,1,266,52500,1,276,429,15,3,246,12,12
10,91,9,2,9,1982,2,178,14,-3,1,211,1,2,199,16,-4,1,232,206,17,-4,1,239,-4,1,253,47500,1,266,72500,1,276,429,16,4,253,12,12
8,92,6,1,4,1983,3,168,14,37600,1,208,1,4,187,15,-4,1,227,199,16,-4,1,239,-4,1,253,-4,1,264,-3,1,276,429,12,2,237,12,12
8,93,7,1,9,1983,1,167,13,29000,1,212,1,2,186,15,-4,1,231,194,16,-4,1,239,-4,1,251,-4,1,264,0,1,276,-5,12,2,270,12,12
12,94,10,2,9,1980,2,197,16,17500,4,206,1,1,219,18,-4,4,228,232,19,21606,4,241,39000,4,253,32000,4,265,44500,4,276,429,14,3,222,12,12
8,95,7,1,7,1982,5,176,14,34738,1,207,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,11,0,258,11,12
10,96,9,1,7,1982,4,182,15,75500,1,213,1,4,200,16,-4,1,231,208,17,-4,1,239,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,16,4,-3,11,12
12,97,10,1,6,1980,1,202,16,41100,1,208,1,2,221,18,-4,1,227,233,19,43500,1,239,-3,1,252,50000,1,264,60175,1,275,429,16,4,224,12,12
11,98,9,1,1,1980,4,207,17,-4,1,208,1,4,226,18,-4,1,227,-5,-5,-5,-5,-5,12000,10,254,-3,10,267,15000,10,282,-5,18,4,234,12,12
9,99,8,1,6,1982,5,176,14,-3,2,206,1,2,200,16,-2,2,230,210,17,-4,2,240,-4,2,254,-3,2,263,25000,4,275,-5,11,1,259,11,12
11,100,9,2,1,1981,2,195,16,26000,4,208,1,1,214,17,-4,4,227,227,18,-4,4,240,-3,4,251,-3,4,264,-3,10,278,429,11,1,241,11,12
10,101,9,2,7,1981,2,200,16,-3,4,219,1,1,211,17,-4,4,230,222,18,-4,4,241,-3,4,251,0,4,268,0,10,278,429,12,-3,284,12,12
10,102,8,2,4,1982,1,178,14,80000,1,206,1,2,201,16,-4,1,229,213,17,-4,1,241,78000,1,253,39500,1,263,62500,1,278,-5,16,4,246,12,12
9,103,7,2,11,1983,1,159,13,80000,1,206,1,2,182,15,-4,1,229,194,16,-4,1,241,-4,1,253,82800,1,263,57500,1,278,-5,12,2,258,12,12
12,104,10,2,11,1980,1,196,16,75673,1,207,1,4,218,18,41000,1,229,230,19,159000,1,241,87000,1,253,97500,1,264,-3,1,277,429,16,4,222,12,12
9,105,8,1,8,1983,1,166,13,75673,1,210,1,4,185,15,-4,1,229,195,16,-4,1,239,-4,1,253,120000,1,266,267940,1,277,429,12,2,258,12,12
11,106,9,1,11,1981,1,183,15,92300,1,206,1,4,207,17,-4,1,230,220,18,-4,1,243,78000,1,253,-5,-5,-5,-5,-5,-5,-5,14,3,234,12,12
10,107,8,2,8,1982,1,174,14,135000,1,206,1,4,197,16,-4,1,229,207,17,-4,1,239,153006,1,253,285805,1,264,16000,1,276,429,18,5,246,12,12
8,108,6,1,9,1984,1,149,12,135000,1,206,1,4,172,14,-4,1,229,182,15,-4,1,239,-4,1,253,-4,1,263,30020,1,276,429,16,4,270,12,12
10,109,8,2,3,1982,1,180,14,76500,1,207,1,4,201,16,-4,1,228,211,17,-4,1,238,78800,1,253,77500,1,263,-3,1,277,429,16,4,246,12,12
8,110,6,2,2,1984,1,157,13,76500,1,207,1,4,178,14,-4,1,228,188,15,-4,1,238,-4,1,253,-4,1,263,-3,1,277,429,18,5,270,12,12
11,111,9,2,1,1981,1,193,16,63850,6,206,1,4,216,17,-4,6,229,226,18,57080,6,239,7500,10,257,8000,10,266,-3,6,277,429,16,4,234,12,12
8,112,7,2,4,1984,1,167,13,-4,1,219,1,4,180,15,-4,1,232,190,15,-4,1,242,-4,1,254,-4,1,264,98500,1,276,-5,16,4,270,12,12
8,113,6,1,4,1984,1,156,12,66600,4,208,1,4,177,14,-4,4,229,187,15,-4,4,239,-4,4,253,-4,4,263,150000,1,276,429,17,2,270,12,12
10,114,8,2,7,1982,1,175,14,76716,1,206,1,4,198,16,-4,1,229,208,17,-4,1,239,-4,1,253,79500,1,263,140000,1,276,429,16,4,246,12,12
8,115,6,2,10,1984,1,149,12,-3,1,207,1,2,170,14,-4,1,228,183,15,-4,4,241,7500,4,254,20000,4,266,-3,4,277,-5,10,1,254,10,11
8,116,6,1,10,1984,2,152,12,31750,4,210,1,1,173,14,-4,4,231,181,15,-4,10,239,-5,-5,-5,-5,-5,-5,67800,4,279,429,12,2,282,12,12
8,117,6,1,10,1984,2,152,12,31750,4,210,1,1,173,14,-4,4,231,181,15,-4,5,239,-5,-5,-5,-5,-5,-5,-4,4,280,429,12,2,282,12,12
12,118,10,1,6,1980,1,201,16,98500,1,207,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-3,1,252,-3,1,265,-3,1,276,-5,17,4,222,12,12
10,119,8,1,9,1982,1,174,14,246474,1,207,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,285805,1,268,-5,-5,-5,429,16,4,246,12,12
-4,120,8,1,6,1982,1,179,14,-4,5,209,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,429,19,5,246,12,12
10,121,8,1,12,1981,1,182,15,77900,1,206,1,4,204,17,-4,1,228,215,17,-4,1,239,164000,1,253,120100,1,267,124500,1,276,429,13,2,246,12,12
8,122,6,1,6,1984,1,152,12,77900,1,206,1,4,174,14,-4,1,228,186,15,-4,1,240,-4,1,253,-4,1,267,131000,1,276,429,12,2,270,12,12
-4,123,10,1,2,1980,1,204,16,-4,1,206,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,10,0,-4,-4,-4
-4,124,8,1,2,1982,1,180,14,-4,1,206,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,8,0,-4,-4,-4
8,125,6,2,5,1984,1,153,12,-3,1,206,1,4,-5,-5,-5,-5,-5,189,15,-4,1,242,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,16,4,269,12,12
11,126,9,1,5,1981,1,190,15,-4,4,207,1,4,213,17,-4,1,230,225,18,25000,1,242,102500,1,252,-3,1,267,131760,1,278,429,12,2,234,12,12
10,127,8,2,3,1982,1,180,15,-4,1,207,1,4,201,16,-4,1,228,213,17,-2,1,240,-3,1,252,150900,1,264,114000,1,277,429,16,4,246,12,12
10,128,8,2,8,1982,1,174,14,93000,4,206,1,4,198,16,-4,3,230,207,17,-4,3,239,177500,3,257,77750,4,266,85250,4,277,429,17,4,246,12,12
11,129,9,2,8,1980,4,198,16,-4,3,206,1,4,218,18,-4,3,226,234,19,120600,3,242,270543,3,255,-3,3,267,127000,3,278,-5,16,4,234,12,12
10,130,8,2,7,1981,4,187,15,-4,3,206,1,4,207,17,-4,3,226,220,18,-4,3,239,-3,3,257,-3,3,267,-3,3,280,-5,16,4,246,12,12
12,131,10,1,10,1980,1,199,16,40200,1,209,1,4,217,18,21100,1,227,230,19,65550,1,240,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,13,2,222,12,12
9,132,7,1,2,1983,1,169,14,42047,1,207,1,4,189,15,-4,1,227,201,16,-4,1,239,-4,1,251,91000,1,264,105450,1,276,-5,17,4,258,12,12
10,133,8,1,7,1982,1,177,14,51160,1,208,1,4,-5,-5,-5,-5,-5,211,17,-4,1,242,-5,-5,-5,70000,1,264,-5,-5,-5,429,16,4,246,12,12
8,134,6,1,4,1984,1,156,13,-4,1,208,1,4,179,14,-4,1,231,187,15,-4,1,239,-4,1,252,-4,1,264,-3,1,277,-5,15,2,270,12,12
11,135,9,1,4,1981,1,191,15,72000,4,207,1,4,211,17,-4,4,227,-5,-5,-5,-5,-5,-3,4,257,2500,10,267,7500,10,277,-5,18,5,234,12,12
9,136,7,2,9,1983,1,161,13,-3,1,206,1,4,-5,-5,-5,-5,-5,198,16,-4,1,243,-4,1,254,-3,1,265,-3,1,277,-5,16,4,258,12,12
-4,137,12,2,5,1980,1,201,16,3400,4,206,1,4,226,18,-2,2,231,234,19,-2,2,239,37500,2,257,-3,2,268,-3,10,279,429,11,1,198,11,11
7,138,5,1,4,1984,1,156,12,-3,1,208,1,4,175,14,-4,1,227,187,15,-4,1,239,-4,1,251,-4,1,263,-4,1,278,429,14,3,282,12,12
8,139,6,2,7,1984,1,153,12,246474,1,208,1,4,173,14,-4,1,228,185,15,-4,1,240,-4,1,252,-4,1,264,1000,10,276,-5,12,2,270,12,12
8,140,6,1,12,1983,1,160,13,48750,2,208,1,2,182,15,-4,3,230,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,14,2,282,8,9
